[2026-04-14T06:20:04.618Z] GET http://localhost:8080/intranet.html → 200 (5ms, 329445B)
[2026-04-14T06:20:04.628Z] GET https://fonts.googleapis.com/css2?family=ZCOOL+KuaiLe&display=swap → pending (?ms, ?B)
[2026-04-14T06:20:04.628Z] GET http://localhost:8080/images/yunque-logo.png → 200 (6ms, 16633034B)
[2026-04-14T06:20:04.628Z] GET http://localhost:8080/images/map.png → 200 (6ms, 2457090B)
[2026-04-14T06:20:05.442Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2moYbyg3tS2w.woff2 → pending (?ms, ?B)
[2026-04-14T06:20:05.442Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.119.woff2 → pending (?ms, ?B)
[2026-04-14T06:20:05.442Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.118.woff2 → pending (?ms, ?B)
[2026-04-14T06:20:05.443Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.107.woff2 → pending (?ms, ?B)
[2026-04-14T06:20:05.443Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.43.woff2 → pending (?ms, ?B)
[2026-04-14T06:20:05.443Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.117.woff2 → pending (?ms, ?B)
[2026-04-14T06:20:05.443Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.113.woff2 → pending (?ms, ?B)
[2026-04-14T06:20:05.443Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.116.woff2 → pending (?ms, ?B)
